id,en,de,answer,,
862,Perhaps the big difference between an adult author writing for an adult and an adult author writing for a child is the necessity for some sense of hope.,"Der vielleicht größte Unterschied zwischen einem erwachsenen Autor, der für Erwachsene schreibt, und einem Autor, der für Kinder schreibt, liegt in der Notwendigkeit, Hoffnung zu vermitteln.","Die große Abweichung zwischen dem Schreiben eines Erwachsenenautors für Erwachsene und dem Schreiben einer erwachsenen Autorin für Kinder liegt in der Notwendigkeit, manchmal eine gewisse Hoffnung zu vermitteln.",,
863,"Not that everything has to be simplified or come to a happy ending, but that there is an innate sense of good and evil.","Nicht alles muss vereinfacht werden oder zum Happy End führen, aber es gibt einen immanenten Sinn für Gut und Böse.","Es ist nicht notwendig, dass alles vereinfacht oder ein Happy End hat, aber es gibt eine innere Sehnsucht nach Gut und Böse.",,
864,And that must be subliminated; revealed through a story rather than stated.,"Dieser muss unterschwellig dargestellt sein, durch die Geschichte offenbart werden und nicht erklärt.","Und das muss subliminierter sein; es muss durch eine Geschichte enthüllt werden, nicht durch eine Aussage.",,
865,The old basis of showing not telling.,Das ist die alte Geschichte vom Zeigen statt Erzählen.,"Die alte Methode, nicht zu erzählen.",,
866,Hansjakob back in Freihof once again,Hansjakob zieht noch einmal in Freihof,Hans Jakob zurück in Freichow erneut.,,
867,"100 years ago, Heinrich Hansjakob moved into his retirement home in Haslach, on Sunday his final years in the ""Freihof"" were brought to life.","Vor 100 Jahren hat Heinrich Hansjakob seinen Altersruhesitz in Haslach bezogen, am Sonntag wurden seine letzten Jahre im ""Freihof"" lebendig.","Im Jahr 1923 zogen Heinrich HansJakob in sein Ruheinsessel im Freihof ein, seine letzten Jahre in dieser Zeit wurden mit Leben erfüllt.",,
868,The large audience was inspired by the extremely amusing role play.,Die vielen Zuschauer waren vom äußerst kurzweiligen Szenenspiel begeistert.,Die große Anzahl von Zuschauern war von dem äußerst unterhaltsamen Rollenspiel inspiriert.,,
869,"From his arrival, to his being conferred with honorary citizenship and his death, Alois Kraftzcyk, the scriptwriter and actor portraying Hansjakob, has written an entertaining play, which received great acclaim under the directorship of Cornelia Volk.","Von der Ankunft über die Verleihung der Ehrenbürgerschaft bis hin zu seinem Tod hatte Drehbuchautor und Hansjakobdarsteller Alois Kraftzcyk ein unterhaltsames Stück entworfen, das unter der Regie von Cornelia Volk viel Beifall bekam.","Von seiner Ankunft bis zu seinem Tode, als er mit Ehrentitularität und seinem Tod ausgezeichnet wurde, schrieb der Drehbuchautor und Schauspieler Alois Kräutzky ein unterhaltsames Drama, das unter der Leitung von Cornelia Volk große Anerkennung fand.",,
870,"Marcus Zagermann, serving as narrator, guided the audience through the ten different scenes, explained circumstances and provided links explaining leaps from his youth to the time when he was approaching retirement.","Marcus Zagermann nahm das Publikum als Sprecher mit durch die zehn verschiedenen Szenen, erklärte Zusammenhänge und überbrückte Zeitsprünge von der Jugend bis zur nahenden Pensionierung.","Markus Zagermann führte das Publikum durch die zehn verschiedenen Szenen, erklärte Umstände und lieferte Links, die von seinem Jugendalter bis zur Zeit veranschaulichten, als er sich dem Ruhestand nähern wollte.",,
871,"On 22 October 1913, Hansjakob returned home to his childhood paradise, to his Freihof.","Am 22. Oktober 1913 kommt Hansjakob heim in seinen Kinderhimmel, in seinen Freihof.","Am 23. Oktober 1893 kehrte Hansjakobs Kind nach seinem Kindheitsparadies zurück, zu seinem Freihof.",,
872,"It was there that the role-play began, with Alois Krafczyk shining once again in his famous role as the town's great son.","Und dann begann das Szenenspiel, in dem Alois Krafczyk einmal mehr in seiner Paraderolle als großer Sohn der Stadt glänzte.","Da war es, dass die Rollenspiel-Szene begann, mit Aloïs Kraffczyk wieder einmal in seiner berühmten Rolle als der Stadtbürger.",,
873,"True to style, he travelled with a two-horse carriage drawn by ""Schwarzwälder Füchsen"" (Black Forest Chestnut Horses) owned by Erich Becherer from Mühlenbach.","Stilecht fuhr er mit dem Zweispänner und ""Schwarzwälder Füchsen"" von Erich Becherer aus Mühlenbach vor.","Mit einem Zweihufkarren gezogen von ""Schwalbenzwäler"" (Schwarzwalder Chestnut Pferde) durch den Besitz von Erich Beherer aus Mühlbach.",,
874,"Not only was he received with great applause from the audience, but was also welcomed by his sister Philippine.","Er wurde nicht nur vom Publikum mit viel Applaus empfangen, auch seine Schwester Philippine hieß ihn willkommen.",Er wurde von der Menge mit großem Applaus empfangen und von seiner Schwester Philippine begrüßt.,,
875,"Billy Sum-Hermann managed unbelievably well to place herself in the role of the sister and brought the character to life amazingly well, in terms of both her expressions and gestures.","Billy Sum-Hermann verstand es unglaublich gut, sich in die Rolle der Schwester hineinzuversetzen und verlieh ihr in Mimik und Gestik ungeheures Leben.","Billy Sommermanns Management war außergewöhnlich gut, um sich in die Rolle der Schwester zu versetzen und den Charakter wunderbar lebendig zu gestalten, sowohl durch ihre Gesten als auch durch ihre Ausdrücke.",,
876,"Between the individual scenes, the Mühlenbacher Bauernkapelle played appropriately selected musical pieces, thus rounding off the performance.",Zwischen den einzelnen Spielszenen spielte die Mühlenbacher Bauernkapelle passend ausgewählte Musikstücke und rundete damit die Aufführung ab.,"Zwischen den einzelnen Szenen spielte die Mühlenbach-Bauernkapelle angemessen ausgewählte Musikstücke ab, wodurch die Vorstellung abgerundet wurde.",,
877,"The honour of presenting the title of honorary citizen went to Haslach's Mayor, Heinz Winkler, who, together with a section of the Town Council, made an appearance representing the Mayor of Hüttich from back in Hansjakob's day.","Zur Verleihung der Ehrenbürgerwürde gab sich dann Haslachs Bürgermeister Heinz Winkler die Ehre, der in Vertretung des damaligen Amtsinhabers Hättich zusammen mit einem Teil des Stadtrates seine Aufwartung machte.","Die Ehre, den Titel des Ehrenbürgers an Herrn Heinz Winkler vom Bürgermeister von Haslach zu stellen, ging an, zusammen mit einer Abteilung des Stadtrats, der anwesend war, um den Bürgermeister von Hüttenberg zu repräsentieren.",,
878,"The ""Dreikönig"" singers then made their own appearance, leading Hansjakob to exclaim: ""Oh how beautiful, this brings childhood memories of my own time in a Dreikönig group back to life"".","Ihre Aufwartung machten anschließend die Dreikönig- singer, die Hansjakob zu dem Ausruf veranlassten: ""Ach wie schön, da werden wieder Jugenderinnerungen an meine eigene Dreikönigzeit lebendig"".","Die „Dreikönige“ begannen dann, ihre eigene Erscheinung zu zeigen, was Hansjakobs Ausdruck war: „Oh, wie schön, das bringt Kindheitserinnerungen an meine Zeit in der Dreikönigengruppe wieder zum Leben.“",,
879,"With their song, ""O Jesulein"", they delighted the audience in the Freihof, as did the ""Storchentagskinder"" with their loud cries of ""Heraus, Heraus"" .","Mit ihrem Lied ""O Jesulein"" erfreuten sie das Publikum im Freihof ebenso wie die Storchentagskinder mit ihrem lauten ""Heraus, Heraus"".","Mit ihrem Lied „O Jelsulein“ begeisterten sie das Publikum im Freichow, ebenso wie die „Storchetgungskinder“ mit ihren lauten Rufe „Herauss, heraus“.",,
880,"In his day, Hansjakob expressed his criticism of the institutional church, as well as his concerns regarding the excesses in the rural economy, the consequences of industrialisation and the effects of the war.","Seine Kritik an der Amtskirche hatte Hansjakob damals genauso geäußert, wie seine Bedenken über die Auswüchse in der Landwirtschaft, die Folgen der Industrialisierung oder die Auswirkungen des Krieges.","In seinem Zeitalter äußerte Hans Jakob seine Kritik an der instituierten Kirche sowie seine Bedenken hinsichtlich der Exzesse in der ländlichen Wirtschaft, der Folgen der Industrialisierung und der Auswirkungen des Krieges.",,
881,"He found his place of rest on his native soil, behind his mausoleum on the Brand  near Hofstetten.","In der Heimaterde, hinter seiner Grabkapelle auf der Brand bei Hofstetten, fand er seine Ruhestätte.","Er fand seinen Ort der Ruhe auf seinem Heimatland, hinter seinem Mausoleum in der Brandstraße in Hofstätten.",,
882,"The role-play ended with the words ""A restless spirit finally found rest and returned home forever"".","""Ein unruhiger Geist hatte endlich seine Ruhe gefunden und war für immer heimgegangen"", hieß es am Ende des Szenenspiels.",Der Rollenspiel endete mit den Worten „Ein aufgeregter Geist fand endlich Ruhe und kehrte nach Hause zurück.“,,
883,The performance received great applause and many words of praise from the audience.,Viel Applaus und viele lobenden Worten gab es vom Publikum für die Aufführung.,Die Leistung wurde von der Audience großzügig gefeiert und zahlreichen Lobeshinweisen entgegengebracht.,,
884,Basketball: Hopes are growing for the Neckar Riesen (Neckar Giants).,Basketball: Die Hoffnung der Neckar Riesen wächst,Fußball: Die Hoffnungen für die Neckar-Riesen sind groß.,,
885,The chances of the relegated Ludwigsburg Budesliga basketball players remaining in the league have improved.,Die Chancen auf den Ligaverbleib der sportlich abgestiegenen Ludwigsburger Bundesliga-Basketballer sind gestiegen.,"Die Chancen der relegierte Ludwiggburg-Basketballspieler, in die Liga zurückzukehren, haben sich verbessert.",,
886,"This is because there is to be a wild card procedure, and the Neckar Riesen are now up against one applicant fewer.","Denn sollte es ein Wildcard-Verfahren geben, dann gibt es für die Neckar Riesen nun einen Mitbewerber weniger.","Es liegt vor, da ein Wildkartenverfahren erforderlich ist, und der Neckar-Riesen ist nun mit einem Bewerber weniger konfrontiert.",,
887,The Hamburg Towers basketball project is declining to make an application for a possible stand-in place.,Das Basketball-Projekt Hamburg Towers verzichtet auf eine Bewerbung für einen möglichen Nachrückerplatz.,"Der Hamburg-Türmen-Basketball-Projekt gerät zurück, um eine Bewerbung für eine mögliche Ersatzposition zu stellen.",,
888,"""We will not participate in the wild card process,"" said former national team player Pascal Roller, who has been putting together the concept for a professional club in the Hansa town since 2012.","""Wir werden nicht am Wildcard-Verfahren teilnehmen"", sagte Ex-Nationalspieler Pascal Roller, der seit 2012 das Konzept für einen Proficlub in der Hansestadt aufstellt.","„Pascal Roller, ehemaliger Nationalteamspieler, sagte, dass er sich nicht an den Wildcard-Prozess beteiligen wird“, so der ehemalige Nationalspieler.",,
889,"However, there was no sigh of relief to be heard from Ludwigsburg.",Ein erstes Aufatmen war aus Ludwigsburg dennoch nicht zu vernehmen.,Es gab keine Erleichterung zu hören von Ludwigshafen.,,
890,"""We are not concerning ourselves with the wild card process until it is certain that Düsseldorf is not receiving a licence,"" said boss of the Neckar Riesen Alexander Reil, speaking to our paper.","""Wir beschäftigten uns nicht mit dem Wildcard-Verfahren, so lange nicht feststeht, dass Düsseldorf keine Lizenz erhält"", sagte Neckar-Riesen-Boss Alexander Reil unserer Zeitung.","„Der Chef der Neckar-Riesen, Alexander Reill, sagte in einem Interview mit unserer Zeitung, dass er sich nicht mit dem Wildkartenverfahren beschäftigt, bis sichergestellt ist, dass Düsseldorf keine Lizenz erhält.“",,
891,Newly promoted Düsseldorf Baskets have until 23 May to submit documents to the arbitration panel and prove their financial fitness for the Bundesliga.,Bis zum 23. Mai kann Aufsteiger Düsseldorf Baskets noch Unterlagen beim Schiedsgericht einreichen und seine wirtschaftliche Bundesliga-Tauglichkeit nachweisen.,"Düsseldorf Baskets haben bis zum 18. Mai eine Frist bis zum Arbitrationpanel, um Dokumente einzureichen und ihre finanzielle Fitness für die Bundesliga nachzuweisen.",,
892,"However, the Rhineland team have already been refused the licence twice.",Bisher wurde den Rheinländern die Lizenz aber zweimal verweigert.,Das Rhineland-Team wurde bereits zweimal die Lizenz verweigert.,,
893,The Court of Arbitration is the authority of last resort.,Das Schiedsgericht ist die letzte Instanz.,Das Gericht der Vermittlung ist die letzte Instanz.,,
894,Haigerloch: Focus on the Abendmahlskirche,Haigerloch: Abendmahlskirche rückt in den Blickpunkt,Hainloch: Konzentrieren Sie sich auf die Abendmahdikirche,,
895,"As the town's contribution to the 150th anniversary of the Protestant Church in Haigerloch, the town's Office of Culture and Tourism is to dedicate the last of this year's public thematic tours on Sunday 27 October to the Abendsmahlskirche (Church of the Holy Communion).","Als Beitrag der Stadt zum 150-jährigen Bestehend der Evangelischen Kirche in Haigerloch widmet das Kultur- und Tourismusbüro der Stadt die letzte ihrer diesjährigen öffentlichen Themenführungen am Sonntag, 27. Oktober, der Abendmahlskirche.","Die Kultur- und Tourismebehörde des Ortes hat die letzte öffentliche thematische Tour des Jahres, die am Sonntag, den 26. Oktober stattfindet, der Ablasskirche (Kirche der Heiligen Gemeinschaft) gewidmet.",,
896,"Following a visit to the Nuclear Bunker Museum, the focus will turn to Haigerloch in the period after 1850, when Haigerloch came under Prussian rule.","Nach dem Besuch des Atomkeller-Museums soll die Haigerlocher Zeit nach 1850 betrachtet werden, als Haigerloch unter preussische Herrschaft kam.",Nach einem Besuch des Nuklearen Bunkermuseums wird sich der Fokus auf Haingerloch in der Zeit nach 500 nach Christus auf die Teilherrschaft Preußens konzentrieren.,,
897,The crowning glory will be a visit to the Abendmahlskirche.,Krönender Schlusspunkt ist dabei ein Besuch in der Abendmahlskirche.,Die Höhepunkte werden eine Besichtigung der Abendmahllandschaft sein.,,
898,"There the participants of the tour will be told the story of the construction of the church and will gain insight into the development of the Protestant congregation, in what is a Catholic area through and through.",Dort bekommen die Führungsteilnehmer die Geschichte vom Bau der Kirche erzählt und gewinnen Einblicke in die Entwicklung der evangelischen Gemeinde in einer durch und durch katholischen Gegend.,"Die Teilnehmer der Tour werden die Geschichte der Errichtung der Kirche erzählen und Einblicke in die Entwicklung der protestantischen Gemeinde erhalten, die sich in einem katholischen Gebiet befindet.",,
899,"Last but not least, while in the church eyes will also turn to the last supper painting, painted by Friedrich Schüz with the support of Walter Kröll and Georg Halbritter.",Nicht zuletzt fällt in der Kirche auch der Blick auf das von Friedrich Schüz mit Unterstützung von Walter Kröll und Georg Halbritter geschaffene Abendmahlgemälde.,"Während die Augen der Priester auch auf die letzte Abendmahlskonstruktion von Friedrich Schütz, die mit der Unterstützung von Walter Krüll und Georg Halbitter gemalt wurde, blicken werden.",,
900,It is a faithful reproduction of the famous work Leonardo da Vinci in Milan.,Es ist eine orginalgetreue Reproduktion des berühmten Mailänder Vorbildes von Leonardo da Vinci.,Es ist eine fieles Reproduktion des berühmten Werkes Leonardo da Vincis in Mailand.,,
901,"The meeting point for the one and a half hour tour is the Nuclear Bunder Museum, at 3:00 p.m.",Treffpunkt zu der andert­halbstündigen Führung ist um 15 Uhr am Atomkeller-Museum.,"Das Treffpunkt für die eine und halbstündige Tour befindet sich im Nukleuren-Bunder-Museum, um 15 Uhr.",,
902,Tickets are available from the ticket office at the Nuclear Bunker Museum.,Karten gibt es an der Kasse des Atomkellermuseums.,Tickets sind im Ticketbüro des Nuklearen Bunkermuseums erhältlich.,,
903,The Haigerloch Town Tourist Office is available for questions and to provide you with information.,Für Fragen und Informationen steht das Tourismusbüro der Stadt Haigerloch zur Verfügung.,Das Tourismusbüro Haigerloch ist für Fragen und zur Bereitstellung von Informationen erreichbar.,,
904,Snowden may make further statements in Russia,Snowden könnte auch in Russland aussagen,Spionageagent Snowden könnte weitere Stellungnahmen in Russland machen.,,
905,"The former US intelligence expert, Edward Snowden, may make further statements regarding the US espionage scandal from his Russian asylum.",Der frühere US-Geheimdienstexperte Edward Snowden könnte in der US-Spähaffäre auch in seinem russischen Asyl Aussagen machen.,Der ehemalige US-Geheimdienstexperte Edward Snowden könnte weitere Stellungnahmen zum US-Spionage-Skandal aus seinem russischen Asyl machen.,,
906,Representatives of the Federal Prosecutor could either submit questions in writing or meet the 30-year-old in person in Russia.,Vertreter der Bundesgeneralstaatsanwaltschaft könnten entweder schriftlich Fragen stellen oder den 30-Jährigen auch persönlich in Russland treffen.,Repräsentanten der Bundesanwaltschaft könnten sich schriftlich oder persönlich mit dem 31-jährigen Mann in Russland bewerben.,,
907,"This was reported by the Interfax Agency with reference to groups aware of the situation, which were not named in greater detail.","Das meldete die Agentur Interfax unter Berufung auf nicht näher benannte Kreise, die mit der Lage vertraut seien.","Von der Interfax-Agentur wurde gemeldet, dass Gruppen, die über die Situation informiert waren, nicht detailliert genannt wurden.",,
908,"Such matters are to be clarified at an intergovernmental level, it was stated.","Eine solche Frage könne zwischenstaatlich geklärt werden, hieß es.",Diese Angelegenheiten sind auf einer intergubernellen Ebene zu klären.,,
909,A departure of Snowden from Russia is virtually impossible.,Eine Ausreise Snowdens aus Russland ist praktisch ausgeschlossen.,Eine Abkehr von Russland ist nahezu unmöglich.,,
910,"""If this were to happen, he would lose his status as a refugee,"" said the Agency, quoting their source.","""In diesem Fall verliert er seinen Flüchtlingsstatus"", zitierte die Agentur ihre Quelle.","Wenn dies geschieht, würde er seinen Status als Flüchtling verlieren.",,
911,"Because Germany is an ally of the USA, Snowden would be at risk of deportation if he were to travel there, the source continued.","Weil Deutschland Verbündeter der USA sei, drohe Snowden dort die Auslieferung, hieß es weiter","Da Deutschland ein Verbündeter der USA ist, wäre Snowden bei seiner Reise nach Deutschland gefährdet.",,
912,Endurance pays dividends,Langer Atem macht sich bezahlt,Ausdauer bringt Ergebnisse.,,
913,Six teams battled to become champion at the club tennis tournament.,Sechs Männermannschaften kämpften beim Tennisturnier der Vereine um den Siegertitel.,Sechs Mannschaften kämpften um die Meisterschaft bei dem Clubtennisturnier.,,
914,"In the end, it was the endurance of the Maier/Bronner team that decided the final match.",Am Ende entschied die Ausdauer vom Team Maier/Bronner das letzte Match.,Die Entscheidung für den endgültigen Sieg fiel letztendlich an der Widerstandsfähigkeit des Maier-/Bronner-Teams.,,
915,The tennis division of the Sportfreunde Rohrdorf (Rohrdorf Sports Fans) enjoyed perfect weather for the tournament for local clubs and enthusiasts.,Ein Traumwetter hatte die Tennisabteilung der Sportfreunde Rohrdorf zum Turnier der örtlichen Vereine und Freunde erhalten.,Die Tennisabteilung des SportFreunde Roh rdorf genoss angenehmes Wetter für die Turnspiele der lokalen Vereine und Enthusiasten.,,
916,The focus of the tournament was on the fun of playing tennis.,Der Spaß am Tennisspielen stand im Vordergrund des Turniers.,Der Fokus des Turniers war die Freude am Tennisspielen.,,
917,"Five matches were scheduled for each team, with every team playing one match against all the others.","Es standen fünf Spiele pro Team auf dem Plan, wobei jeder gegen jeden spielte.","Fünf Spiele wurden pro Team geplant, wobei jedes Team gegen alle anderen Spiele antritt.",,
918,"The matches were doubles matches with a long set up to nine points, or a maximum duration of 45 minutes.",Gespielt wurde im Doppelmodus mit einem langen Satz bis zu neun Punkten oder maximal 45 Minuten Dauer.,Die Spiele wurden Doppel-Matches mit einer langen Spielzeit von neun Punkten oder einer maximalen Spieldauer von vierzehn Minuten gespielt.,,
919,Anja Schlichter managed the tournament,Anja Schlichter leitet das Turnier,Anna Schlitter leitete den Wettbewerb.,,
920,"The organisation of the tournament was placed in the trusty hands of Anja Schlichter, who was supported by Carmen Müller and Inga Kronemeyer.","Die Turnierleitung lag in den bewährten Händen von Anja Schlichter, unterstützt wurde sie von Carmen Müller und Inga Kronemeyer.","Die Organisation des Turniers lag in den hildenen Händen von Anja Schälich, die von Carmen Müller und Inga Krömer unterstützt wurde.",,
921,"After the first three matches and a lunch break with pasta, the tournament moved into the crucial phase.",Nach den ersten drei Spielen und einer Mittagspause mit Pasta ging das Turnier in die entscheidende Phase.,Nach den ersten drei Partien und einer Mittagspause mit Pasta verschob sich das Turnier in die entscheidende Phase.,,
922,"The favourites, Andre Maier/Matthias Bronner, were tied with Michael Klippel and Sadmin Osmicic (both teams from the SG Rohrweiler), meaning that the last two games had to produce a victor.","Die Favoriten Andre Maier/Matthias Bronner lagen punktgleich mit Michael Klippel und Sadmin Osmicic (beide Teams der SG Rohrweiler), so dass die letzten beiden Matches die Entscheidung bringen mussten.","Die Favoriten André Maier/ Matthias Bronner waren mit Michael Klierp und Sadmin Osmicic (beide Teams aus dem SG Rohweiler) mit 1:0 verbunden, was bedeutete, dass die letzten beiden Spiele ein Sieger sein mussten.",,
923,"At the awards ceremony, Carmen Müller finally had the pleasure of presenting the Challenge Cup to Andre Maier and Matthias Bronner, who had shown the greatest staying power on the final leg.","Bei der Siegerehrung konnte Carmen Müller den Wanderpokal schließlich an Andre Maier/Matthias Bronner überreichen, die auf der Zielgerade den längsten Atem hatten.","Bei der Preisverleihung hatte Carmen Müller endlich die Freude, dem Herausforderer den Challenge Cup an Andre Maier und Matthias Bronne zu überreichen, da diese die beste Leistung im abschließenden Abschnitt gezeigt hatten.",,
924,Second place was taken by the Michael Klippel / Sadmin Osmicic partnership.,Den zweiten Platz belegte das Doppel Michael Klippel/Sadmin Osmicic.,Der Zwechte Platz wurde von Michael Klipfel / die Sadmin-Osmicic-Partnerschaft gewonnen.,,
925,Bronze went to Rainer and Bernd Maier of the Asphaltriecher team.,Das Bronzetreppchen erreichten Rainer und Bernd Maier des Teams Asphaltriecher.,Bronze fuhr mit Rainer und Bernd Maier des Asphaltrieser-Teams.,,
926,"In the late afternoon sun, accompanied by coffee and cake, the tournament drew to a successful close.",Bei Spätnachmittagsonne und Kaffee und Kuchen fand der gelungene Ausklang des Turniers statt.,"In der späten Nachmittagssonne, begleitet von Kaffee und Kuchen, endete das Turnier erfolgreich.",,
927,"On the last weekend in August, the Vogtsbauernhof Black Forest Open Air Museum in Gutach near Hornberg will once again be firmly in the hands of children.",Am letzten Augustwochenende ist das Schwarzwälder Freilichtmuseum Vogtsbauernhof in Gutach bei Hornberg wieder fest in Kinderhand.,Am letzten Wochenende im August wird der VogtsBauernhof Schwarzwalder Freilichtmuseum Gutach in der Nähe von Hornberg wieder in die Hände der Kinder gelegt.,,
928,"Traditionally, the museum welcomes visitors on a Saturday and Sunday, this year on on 24 and 25 August, to a colourful party for children and families as part of the summer holiday programme, with numerous participation activities and events.","Traditionell heißt das Museum die Besucher am Samstag und am Sonntag, den 24. und 25. August, im Rahmen des Sommerferienprogramms zu einem bunten Kinder- und Familienfest mit zahlreichen Mitmachaktionen und Veranstaltungen willkommen.","Traditionell begrüßen die Museen Besucher am Samstag und Sonntag im August 2024, um eine farbenfrohe Party für Kinder und Familien im Rahmen des Sommerferienprogramms, mit zahlreichen Teilnahmeaktivitäten und Veranstaltungen.",,
929,"""On both days, adults and children alike can learn various traditional handicrafts,"" said the press release.","""Groß und Klein können an beiden Tagen verschiedene alte Handwerke erlernen"", heißt es in der Pressemitteilung.","""Auf beiden Tagen können Erwachsene und Kinder gemeinsam verschiedene traditionelle Handwerke erlernen.""",,
930,"Whether producing soap, turning candles, felting or making silk, there is a suitable activity whatever your age.","Ob Seife herstellen, Kerzen drehen, filzen oder Seile fertigen, für jedes Alter ist das Passende dabei.","Es gibt eine Reihe von Aktivitäten, die man bei der Herstellung von Seife, Kerzen, Wolle oder Seide betreiben kann, unabhängig vom Alter.",,
931,"The children will receive help from regional artisans, present from 11.00 a.m. until 5:00 p.m.",Den Kindern stehen regionale Handwerker von 11 bis 17 Uhr helfend zur Seite.,"Die Kinder erhalten Hilfe von regionalen Handwerkern, die von 9:0۰ Uhr bis 17:۰۰ Uhr bereitgestellt werden.",,
932,Activities will also be taking place in the museum workshop.,In der Museumswerkstatt wird ebenfalls gewerkelt.,Die Aktivitäten finden auch im Museumswerkstatt statt.,,
933,"The young guests will be able to demonstrate their manual skills building cuckoo pipes, water wheels or spinning tops.","Beim Bau von Kuckuckspfeifen, Wasserrädern oder Kreiseln können die jungen Gäste ihr handwerkliches Geschick unter Beweis stellen.","Die jungen Gäste werden in der Lage sein, ihre manuellen Fähigkeiten beim Bau von Cuckoo-Pipes, Wasserrädern oder Drehfiguren zu demonstrieren.",,
934,"The host of old games, such as wheelbarrow racing or walking on stilts, promises plenty of fun.","Viel Spaß versprechen auch die vielen alten Spiele, wie Schubkarren-Rennen oder Stelzenlaufen.","Der Gastgeber von alten Spielen, wie Wheelbarrow Racing oder das Gehen auf Stiltzen, verspricht viel Spaß.",,
935,Here speed and coordination are the order of the day.,Schnelligkeit und Koordination sind hier gefragt.,Die Geschwindigkeit und Koordination sind heute oberste Priorität.,,
936,"For any miniature detectives, the open air museum will be offering a mystery tour through the museum on Saturday and Sunday, at midday and 2.00 p.m. respectively.","Für alle kleinen Detektive bietet das Freilichtmuseum am Samstag und am Sonntag, jeweils um 12 und 14 Uhr, eine Rätselführung durch das Museum an.",Für alle Miniature Detektive wird am Samstag und Sonntag um Mittag und 2:00 Uhr eine Mystery-Tour durch das Museum angeboten.,,
937,"On a tour of the premises, the children will have to work out which stories are true and which have been made up.","Auf einem Geländerundgang müssen die Kinder erraten, welche Geschichten der Wahrheit entsprechen oder doch gelogen sind.","Während der Besichtigung der Einrichtung müssen die Kinder herausfinden, welche Geschichten wahr sind und welche erfundene sind.",,
938,"In addition, visitors will have the special opportunity to get to know the open air museum on a carriage journey drawn by Black Forest Chestnut horses.","Darüber hinaus haben die Besucher die besondere Gelegenheit, das Freilichtmuseum während einer Kutschfahrt mit Schwarzwälder Füchsen kennenzulernen.","Besonders erhalten Besucher die Möglichkeit, das Open-Air-Museum auf einer Kutschenfahrt mit Schwarzwalder Chestnut-Tieren kennenzulernen.",,
939,"It is not just horses that can be found and admired on the grounds, but many other animals such as sheep, goats, cows and chickens as well.","Nicht nur Pferde, sondern auch viele weitere Tiere wie Schafe, Ziegen, Kühe und Hühner sind auf dem Gelände anzutreffen und zu bestaunen.","Hunde und viele andere Tiere, wie Schafe, Ziegen, Kühe und Hühner, können ebenfalls auf den Grundstücken gefunden und bewundert werden.",,
940,"On the Sunday the children will also be able to enjoy the clown, Otsch, who will be doing pranks with the museum guests from 11.00 a.m.","Zusätzlich dürfen sich alle Kinder am Sonntag auf den Clown Otsch freuen, der seinen Schabernack ab 11 Uhr mit den Museumsgästen treibt.","Am Sonntag werden auch die Kinder die Clown Otsch auch genießen können, der mit den Besuchern im Museum herumtrampelt, um Spaß zu machen.",,
941,"Meanwhile, a cosy and magical alternative will be provided by Hermann Büttner.",Gemütlich und märchenhaft geht es unterdessen bei Hermann Büttner zu.,Währenddessen wird eine gemütliche und magische Alternative angeboten.,,
942,"The story-teller will be taking the younger guests to the wonderful world of fairytale at 11.00 a.m., 1:00 p.m. and 3:00 p.m.","Der Geschichtenerzähler nimmt die kleinen Gäste um 11, 13 und 15 Uhr mit in die wunderbare Welt der Märchen.","Die Erzählerinnen und Erzähler werden die jüngeren Gäste in die wunderbare Welt von Märchen mitnehmen, um 13 Uhr, 15 Uhr und 18 Uhr.",,
943,The traditional children's dance group from Gutach will also be performing at 11:30 a.m.,Zudem führt die Kindertrachtentanzgruppe aus Gutach um 11.30 Uhr traditionelle Tänze vor.,Das traditionelle Kinderballet-Verein aus Gutach wird ebenfalls um 12 Uhr mittags auftreten.,,
944,"Furthermore, on both event days, from 11.00 a.m. until 5.00 p.m., numerous artisans such as the broom maker, the sewer, the spinner, the weaver and the baker will be letting visitors look over their shoulders.","Des Weiteren lassen sich an beiden Veranstaltungstagen von 11 bis 17 Uhr zahlreiche Handwerker wie der Besenbinder, die Näherin, die Spinnerin, die Weberin und die Bäckerin bei ihrer traditionellen Arbeit über die Schulter schauen.","Darüber hinaus, an beiden Tagen, von 12:00 Uhr bis 17:0۰ Uhr, werden zahlreiche Handwerker wie der Strohhalmhersteller, der Abwassermeister, der Spinner, der Webstuhl- und Bäckerhandwerker ihre Besucher zu Fuß begutachten.",,
945,"So, visitors to the open air museum can expect a varied holiday programme right through to the end of the summer holidays in Baden-Wuerttemberg.",Noch bis zum Ende der Sommerferien in Baden-Württemberg erwartet die Besucher des Freilichtmuseums ein abwechslungsreiches Ferienprogramm.,Besucher des offenen Luftmuseums können sich auf ein vielfältiges Programm für die Ferienzeit bis zum Ende der Sommerferien im Schwarzwald freuen.,,
946,"In a small town in New Zealand, Burt Munro is considered a lovable oddball, all because he resolved to compete in a race in America with his 1920 motorbike.","In einer neuseeländischen Kleinstadt gilt Burt Muro als liebenswerter Kauz, weil er sich vorgenommen hat, mit seinem Motorrad, Baujahr 1920, an einem Rennen in Amerika teilzunehmen.","In einem kleinen Dorf in Neuseeland wird Burt Munro als liebenswerter Ausreißer angesehen, da er sich dazu entschlossen hat, in den Vereinigten Staaten an einem Rennen teilzunehmen, bei dem er seinen Motorradmotorroller verwendete.",,
